Configuration[
MAP_NUM_ROWS=14
MAP_NUM_COLS=8
MAX_NUM_MOVING_OBJECTS=6
NUM_WALLS=9
ARRAY_WALLS=[(13,6);(6,1);(7,0);(11,1);(0,3);(0,0);(11,0);(6,0);(6,0)]
NUM_FAKE_WALLS=8
ARRAY_FAKE_WALLS=[(2,3);(9,2);(12,2);(1,6);(6,0);(13,4);(8,7);(8,7)]
SHERLOCK_MOVING_RULE=R
SHERLOCK_INIT_POS=(5,2)
SHERLOCK_INIT_HP=45
SHERLOCK_INIT_EXP=93
WATSON_MOVING_RULE=ULDRUULUL
WATSON_INIT_POS=(10,1)
WATSON_INIT_HP=16
WATSON_INIT_EXP=291
CRIMINAL_INIT_POS=(10,2)
NUM_STEPS=24
]
*********************************************************
ROUND : 0 - TURN : 0
     |    0|    1|    2|    3|    4|    5|    6|    7|
   12|  (c)|     |-----|     |     |     |     |     |
   13|  (C)|     |     |     |-----|     |IIIII|     |
*********************************************************
ROUND : 20 - TURN : 3
     |    0|    1|    2|    3|    4|    5|    6|    7|
    0|IIIII|     |     |IIIII|     |     |     |     |
    1|     |     |     |     |     |     |-----|     |
    2|     |     |     |-----|     |     |     |     |
    3|     |     |     |     |     |     |     |     |
    4|     |     |     |     |     |     |     |     |
    5|     |     |     |     |     |     |     |  (S)|
    6|IIIII|IIIII|     |     |     |     |     |     |
    7|IIIII| (ww)|     |     |     |     |     |     |
    8|     |  (W)|     |     |     |     |     |-----|
    9|     |     |-----|     |     |     |     |     |
   10|     |     |     |     |     |     |     |     |
   11|IIIII|IIIII|     |     |     |     |     |     |
   12|     |     |-----|     |     |     |     |     |
   13| (Cc)|     |     |     |-----|     |IIIII|     |
*********************************************************
ROUND : 20 - TURN : 4
     |    0|    1|    2|    3|    4|    5|    6|    7|
    0|IIIII|     |     |IIIII|     |     |     |     |
    1|     |     |     |     |     |     |-----|     |
    2|     |     |     |-----|     |     |     |     |
    3|     |     |     |     |     |     |     |     |
    4|     |     |     |     |     |     |     |     |
    5|     |     |     |     |     |     |     |  (S)|
    6|IIIII|IIIII|     |     |     |     |     |     |
    7|IIIII|  (w)|     |     |     |     |     |     |
    8|     | (Ww)|     |     |     |     |     |-----|
    9|     |     |-----|     |     |     |     |     |
   10|     |     |     |     |     |     |     |     |
   11|IIIII|IIIII|     |     |     |     |     |     |
   12|     |     |-----|     |     |     |     |     |
   13| (Cc)|     |     |     |-----|     |IIIII|     |
*********************************************************
ROUND : 20 - TURN : 5
     |    0|    1|    2|    3|    4|    5|    6|    7|
    0|IIIII|     |     |IIIII|     |     |     |     |
    1|     |     |     |     |     |     |-----|     |
    2|     |     |     |-----|     |     |     |     |
    3|     |     |     |     |     |     |     |     |
    4|     |     |     |     |     |     |     |     |
    5|     |     |     |     |     |     |     |  (S)|
    6|IIIII|IIIII|     |     |     |     |     |     |
    7|IIIII|     |     |     |     |     |     |     |
    8|     |(Www)|     |     |     |     |     |-----|
    9|     |     |-----|     |     |     |     |     |
   10|     |     |     |     |     |     |     |     |
   11|IIIII|IIIII|     |     |     |     |     |     |
   12|     |     |-----|     |     |     |     |     |
   13| (Cc)|     |     |     |-----|     |IIIII|     |
*********************************************************
ROUND : 21 - TURN : 0
     |    0|    1|    2|    3|    4|    5|    6|    7|
    0|IIIII|     |     |IIIII|     |     |     |     |
    1|     |     |     |     |     |     |-----|     |
    2|     |     |     |-----|     |     |     |     |
    3|     |     |     |     |     |     |     |     |
    4|     |     |     |     |     |     |     |     |
    5|     |     |     |     |     |     |     |  (S)|
    6|IIIII|IIIII|     |     |     |     |     |     |
    7|IIIII|     |     |     |     |     |     |     |
    8|     |(Www)|     |     |     |     |     |-----|
    9|     |     |-----|     |     |     |     |     |
   10|     |     |     |     |     |     |     |     |
   11|IIIII|IIIII|     |     |     |     |     |     |
   12|  (C)|     |-----|     |     |     |     |     |
   13|  (c)|     |     |     |-----|     |IIIII|     |
*********************************************************
ROUND : 21 - TURN : 1
     |    0|    1|    2|    3|    4|    5|    6|    7|
    0|IIIII|     |     |IIIII|     |     |     |     |
    1|     |     |     |     |     |     |-----|     |
    2|     |     |     |-----|     |     |     |     |
    3|     |     |     |     |     |     |     |     |
    4|     |     |     |     |     |     |     |     |
    5|     |     |     |     |     |     |     |  (S)|
    6|IIIII|IIIII|     |     |     |     |     |     |
    7|IIIII|     |     |     |     |     |     |     |
    8|     |(Www)|     |     |     |     |     |-----|
    9|     |     |-----|     |     |     |     |     |
   10|     |     |     |     |     |     |     |     |
   11|IIIII|IIIII|     |     |     |     |     |     |
   12|  (C)|     |-----|     |     |     |     |     |
   13|  (c)|     |     |     |-----|     |IIIII|     |
*********************************************************
ROUND : 21 - TURN : 2
     |    0|    1|    2|    3|    4|    5|    6|    7|
    0|IIIII|     |     |IIIII|     |     |     |     |
    1|     |     |     |     |     |     |-----|     |
    2|     |     |     |-----|     |     |     |     |
    3|     |     |     |     |     |     |     |     |
    4|     |     |     |     |     |     |     |     |
    5|     |     |     |     |     |     |     |  (S)|
    6|IIIII|IIIII|     |     |     |     |     |     |
    7|IIIII|     |     |     |     |     |     |     |
    8|     | (ww)|  (W)|     |     |     |     |-----|
    9|     |     |-----|     |     |     |     |     |
   10|     |     |     |     |     |     |     |     |
   11|IIIII|IIIII|     |     |     |     |     |     |
   12|  (C)|     |-----|     |     |     |     |     |
   13|  (c)|     |     |     |-----|     |IIIII|     |
*********************************************************
ROUND : 21 - TURN : 3
     |    0|    1|    2|    3|    4|    5|    6|    7|
    0|IIIII|     |     |IIIII|     |     |     |     |
    1|     |     |     |     |     |     |-----|     |
    2|     |     |     |-----|     |     |     |     |
    3|     |     |     |     |     |     |     |     |
    4|     |     |     |     |     |     |     |     |
    5|     |     |     |     |     |     |     |  (S)|
    6|IIIII|IIIII|     |     |     |     |     |     |
    7|IIIII|     |     |     |     |     |     |     |
    8|     | (ww)|  (W)|     |     |     |     |-----|
    9|     |     |-----|     |     |     |     |     |
   10|     |     |     |     |     |     |     |     |
   11|IIIII|IIIII|     |     |     |     |     |     |
   12| (Cc)|     |-----|     |     |     |     |     |
   13|     |     |     |     |-----|     |IIIII|     |
*********************************************************
ROUND : 21 - TURN : 4
     |    0|    1|    2|    3|    4|    5|    6|    7|
    0|IIIII|     |     |IIIII|     |     |     |     |
    1|     |     |     |     |     |     |-----|     |
    2|     |     |     |-----|     |     |     |     |
    3|     |     |     |     |     |     |     |     |
    4|     |     |     |     |     |     |     |     |
    5|     |     |     |     |     |     |     |  (S)|
    6|IIIII|IIIII|     |     |     |     |     |     |
    7|IIIII|     |     |     |     |     |     |     |
    8|     |  (w)| (Ww)|     |     |     |     |-----|
    9|     |     |-----|     |     |     |     |     |
   10|     |     |     |     |     |     |     |     |
   11|IIIII|IIIII|     |     |     |     |     |     |
   12| (Cc)|     |-----|     |     |     |     |     |
   13|     |     |     |     |-----|     |IIIII|     |
*********************************************************
ROUND : 21 - TURN : 5
     |    0|    1|    2|    3|    4|    5|    6|    7|
    0|IIIII|     |     |IIIII|     |     |     |     |
    1|     |     |     |     |     |     |-----|     |
    2|     |     |     |-----|     |     |     |     |
    3|     |     |     |     |     |     |     |     |
    4|     |     |     |     |     |     |     |     |
    5|     |     |     |     |     |     |     |  (S)|
    6|IIIII|IIIII|     |     |     |     |     |     |
    7|IIIII|     |     |     |     |     |     |     |
    8|     |     |(Www)|     |     |     |     |-----|
    9|     |     |-----|     |     |     |     |     |
   10|     |     |     |     |     |     |     |     |
   11|IIIII|IIIII|     |     |     |     |     |     |
   12| (Cc)|     |-----|     |     |     |     |     |
   13|     |     |     |     |-----|     |IIIII|     |
*********************************************************
ROUND : 22 - TURN : 0
     |    0|    1|    2|    3|    4|    5|    6|    7|
    0|IIIII|     |     |IIIII|     |     |     |     |
    1|     |     |     |     |     |     |-----|     |
    2|     |     |     |-----|     |     |     |     |
    3|     |     |     |     |     |     |     |     |
    4|     |     |     |     |     |     |     |     |
    5|     |     |     |     |     |     |     |  (S)|
    6|IIIII|IIIII|     |     |     |     |     |     |
    7|IIIII|     |     |     |     |     |     |     |
    8|     |     |(Www)|     |     |     |     |-----|
    9|     |     |-----|     |     |     |     |     |
   10|     |     |     |     |     |     |     |     |
   11|IIIII|IIIII|     |     |     |     |     |     |
   12|  (c)|     |-----|     |     |     |     |     |
   13|  (C)|     |     |     |-----|     |IIIII|     |
*********************************************************
ROUND : 22 - TURN : 1
     |    0|    1|    2|    3|    4|    5|    6|    7|
    0|IIIII|     |     |IIIII|     |     |     |     |
    1|     |     |     |     |     |     |-----|     |
    2|     |     |     |-----|     |     |     |     |
    3|     |     |     |     |     |     |     |     |
    4|     |     |     |     |     |     |     |     |
    5|     |     |     |     |     |     |     |  (S)|
    6|IIIII|IIIII|     |     |     |     |     |     |
    7|IIIII|     |     |     |     |     |     |     |
    8|     |     |(Www)|     |     |     |     |-----|
    9|     |     |-----|     |     |     |     |     |
   10|     |     |     |     |     |     |     |     |
   11|IIIII|IIIII|     |     |     |     |     |     |
   12|  (c)|     |-----|     |     |     |     |     |
   13|  (C)|     |     |     |-----|     |IIIII|     |
*********************************************************
ROUND : 22 - TURN : 2
     |    0|    1|    2|    3|    4|    5|    6|    7|
    0|IIIII|     |     |IIIII|     |     |     |     |
    1|     |     |     |     |     |     |-----|     |
    2|     |     |     |-----|     |     |     |     |
    3|     |     |     |     |     |     |     |     |
    4|     |     |     |     |     |     |     |     |
    5|     |     |     |     |     |     |     |  (S)|
    6|IIIII|IIIII|     |     |     |     |     |     |
    7|IIIII|     |  (W)|     |     |     |     |     |
    8|     |     | (ww)|     |     |     |     |-----|
    9|     |     |-----|     |     |     |     |     |
   10|     |     |     |     |     |     |     |     |
   11|IIIII|IIIII|     |     |     |     |     |     |
   12|  (c)|     |-----|     |     |     |     |     |
   13|  (C)|     |     |     |-----|     |IIIII|     |
*********************************************************
ROUND : 22 - TURN : 3
     |    0|    1|    2|    3|    4|    5|    6|    7|
    0|IIIII|     |     |IIIII|     |     |     |     |
    1|     |     |     |     |     |     |-----|     |
    2|     |     |     |-----|     |     |     |     |
    3|     |     |     |     |     |     |     |     |
    4|     |     |     |     |     |     |     |     |
    5|     |     |     |     |     |     |     |  (S)|
    6|IIIII|IIIII|     |     |     |     |     |     |
    7|IIIII|     |  (W)|     |     |     |     |     |
    8|     |     | (ww)|     |     |     |     |-----|
    9|     |     |-----|     |     |     |     |     |
   10|     |     |     |     |     |     |     |     |
   11|IIIII|IIIII|     |     |     |     |     |     |
   12|     |     |-----|     |     |     |     |     |
   13| (Cc)|     |     |     |-----|     |IIIII|     |
*********************************************************
ROUND : 22 - TURN : 4
     |    0|    1|    2|    3|    4|    5|    6|    7|
    0|IIIII|     |     |IIIII|     |     |     |     |
    1|     |     |     |     |     |     |-----|     |
    2|     |     |     |-----|     |     |     |     |
    3|     |     |     |     |     |     |     |     |
    4|     |     |     |     |     |     |     |     |
    5|     |     |     |     |     |     |     |  (S)|
    6|IIIII|IIIII|     |     |     |     |     |     |
    7|IIIII|     | (Ww)|     |     |     |     |     |
    8|     |     |  (w)|     |     |     |     |-----|
    9|     |     |-----|     |     |     |     |     |
   10|     |     |     |     |     |     |     |     |
   11|IIIII|IIIII|     |     |     |     |     |     |
   12|     |     |-----|     |     |     |     |     |
   13| (Cc)|     |     |     |-----|     |IIIII|     |
*********************************************************
ROUND : 22 - TURN : 5
     |    0|    1|    2|    3|    4|    5|    6|    7|
    0|IIIII|     |     |IIIII|     |     |     |     |
    1|     |     |     |     |     |     |-----|     |
    2|     |     |     |-----|     |     |     |     |
    3|     |     |     |     |     |     |     |     |
    4|     |     |     |     |     |     |     |     |
    5|     |     |     |     |     |     |     |  (S)|
    6|IIIII|IIIII|     |     |     |     |     |     |
    7|IIIII|     |(Www)|     |     |     |     |     |
    8|     |     |     |     |     |     |     |-----|
    9|     |     |-----|     |     |     |     |     |
   10|     |     |     |     |     |     |     |     |
   11|IIIII|IIIII|     |     |     |     |     |     |
   12|     |     |-----|     |     |     |     |     |
   13| (Cc)|     |     |     |-----|     |IIIII|     |
*********************************************************
ROUND : 23 - TURN : 0
     |    0|    1|    2|    3|    4|    5|    6|    7|
    0|IIIII|     |     |IIIII|     |     |     |     |
    1|     |     |     |     |     |     |-----|     |
    2|     |     |     |-----|     |     |     |     |
    3|     |     |     |     |     |     |     |     |
    4|     |     |     |     |     |     |     |     |
    5|     |     |     |     |     |     |     |  (S)|
    6|IIIII|IIIII|     |     |     |     |     |     |
    7|IIIII|     |(Www)|     |     |     |     |     |
    8|     |     |     |     |     |     |     |-----|
    9|     |     |-----|     |     |     |     |     |
   10|     |     |     |     |     |     |     |     |
   11|IIIII|IIIII|     |     |     |     |     |     |
   12|  (C)|     |-----|     |     |     |     |     |
   13|  (c)|     |     |     |-----|     |IIIII|     |
*********************************************************
ROUND : 23 - TURN : 1
     |    0|    1|    2|    3|    4|    5|    6|    7|
    0|IIIII|     |     |IIIII|     |     |     |     |
    1|     |     |     |     |     |     |-----|     |
    2|     |     |     |-----|     |     |     |     |
    3|     |     |     |     |     |     |     |     |
    4|     |     |     |     |     |     |     |     |
    5|     |     |     |     |     |     |     |  (S)|
    6|IIIII|IIIII|     |     |     |     |     |     |
    7|IIIII|     |(Www)|     |     |     |     |     |
    8|     |     |     |     |     |     |     |-----|
    9|     |     |-----|     |     |     |     |     |
   10|     |     |     |     |     |     |     |     |
   11|IIIII|IIIII|     |     |     |     |     |     |
   12|  (C)|     |-----|     |     |     |     |     |
   13|  (c)|     |     |     |-----|     |IIIII|     |
*********************************************************
ROUND : 23 - TURN : 2
     |    0|    1|    2|    3|    4|    5|    6|    7|
    0|IIIII|     |     |IIIII|     |     |     |     |
    1|     |     |     |     |     |     |-----|     |
    2|     |     |     |-----|     |     |     |     |
    3|     |     |     |     |     |     |     |     |
    4|     |     |     |     |     |     |     |     |
    5|     |     |     |     |     |     |     |  (S)|
    6|IIIII|IIIII|  (W)|     |     |     |     |     |
    7|IIIII|     | (ww)|     |     |     |     |     |
    8|     |     |     |     |     |     |     |-----|
    9|     |     |-----|     |     |     |     |     |
   10|     |     |     |     |     |     |     |     |
   11|IIIII|IIIII|     |     |     |     |     |     |
   12|  (C)|     |-----|     |     |     |     |     |
   13|  (c)|     |     |     |-----|     |IIIII|     |
*********************************************************
ROUND : 23 - TURN : 3
     |    0|    1|    2|    3|    4|    5|    6|    7|
    0|IIIII|     |     |IIIII|     |     |     |     |
    1|     |     |     |     |     |     |-----|     |
    2|     |     |     |-----|     |     |     |     |
    3|     |     |     |     |     |     |     |     |
    4|     |     |     |     |     |     |     |     |
    5|     |     |     |     |     |     |     |  (S)|
    6|IIIII|IIIII|  (W)|     |     |     |     |     |
    7|IIIII|     | (ww)|     |     |     |     |     |
    8|     |     |     |     |     |     |     |-----|
    9|     |     |-----|     |     |     |     |     |
   10|     |     |     |     |     |     |     |     |
   11|IIIII|IIIII|     |     |     |     |     |     |
   12| (Cc)|     |-----|     |     |     |     |     |
   13|     |     |     |     |-----|     |IIIII|     |
*********************************************************
ROUND : 23 - TURN : 4
     |    0|    1|    2|    3|    4|    5|    6|    7|
    0|IIIII|     |     |IIIII|     |     |     |     |
    1|     |     |     |     |     |     |-----|     |
    2|     |     |     |-----|     |     |     |     |
    3|     |     |     |     |     |     |     |     |
    4|     |     |     |     |     |     |     |     |
    5|     |     |     |     |     |     |     |  (S)|
    6|IIIII|IIIII| (Ww)|     |     |     |     |     |
    7|IIIII|     |  (w)|     |     |     |     |     |
    8|     |     |     |     |     |     |     |-----|
    9|     |     |-----|     |     |     |     |     |
   10|     |     |     |     |     |     |     |     |
   11|IIIII|IIIII|     |     |     |     |     |     |
   12| (Cc)|     |-----|     |     |     |     |     |
   13|     |     |     |     |-----|     |IIIII|     |
*********************************************************
ROUND : 23 - TURN : 5
     |    0|    1|    2|    3|    4|    5|    6|    7|
    0|IIIII|     |     |IIIII|     |     |     |     |
    1|     |     |     |     |     |     |-----|     |
    2|     |     |     |-----|     |     |     |     |
    3|     |     |     |     |     |     |     |     |
    4|     |     |     |     |     |     |     |     |
    5|     |     |     |     |     |     |     |  (S)|
    6|IIIII|IIIII|(Www)|     |     |     |     |     |
    7|IIIII|     |     |     |     |     |     |     |
    8|     |     |     |     |     |     |     |-----|
    9|     |     |-----|     |     |     |     |     |
   10|     |     |     |     |     |     |     |     |
   11|IIIII|IIIII|     |     |     |     |     |     |
   12| (Cc)|     |-----|     |     |     |     |     |
   13|     |     |     |     |-----|     |IIIII|     |
